year,month,u10,v10,mx2t,mn2t,tcc,t2,msl,t,q,u,v,z,SPI,grid_ID
1984,3,-0.867565292,0.135999447,304.2004375,292.6605225,0.333243427,298.1972735,101316.2777,296.0542494,0.007548863,-2.72070211,-2.706642554,919.6463485,0.001968886,303
1984,4,-2.008583401,0.868363889,299.8189636,288.4881012,0.342904655,293.8956187,101704.5419,291.5655233,0.006560478,-3.292561636,-1.370390577,1231.597946,0.283077655,303
1984,5,-1.834294338,0.810250943,296.2906346,284.130755,0.298666034,289.7867884,101981.4156,288.7170026,0.00522688,-3.028432946,-1.14927354,1477.379717,-0.705989421,303
1984,6,-1.31586193,1.387933713,293.1706614,281.8974375,0.244231467,287.0223145,102222.2945,285.7860687,0.004949406,-2.523053944,-0.317614422,1665.43079,-0.095865856,303
1984,7,0.017579499,0.497922304,289.3393643,280.5954058,0.586178529,284.8837526,101921.1411,284.1287035,0.00501569,-1.411505002,-1.426471133,1409.774932,2.233170667,303
1984,8,0.080237229,-0.001812462,293.0828848,280.769927,0.168936441,286.8275462,101656.4025,286.2516775,0.004377333,-1.628932743,-2.102030975,1181.241203,-0.284851006,303
1984,9,0.310411886,0.820205534,296.3821655,282.6743866,0.160526306,289.2870809,101587.9219,287.6112193,0.004039796,-1.877630653,-1.594244523,1113.894399,0.390223001,303
1985,1,-0.907053439,0.16260543,309.5004085,296.1716821,0.199664972,302.7210851,100947.3498,299.6218626,0.006477399,-3.323325057,-2.624483408,575.2096142,-0.626706653,303
1985,10,-0.121243229,-0.783029449,300.5149664,288.5228153,0.348828534,294.4288635,101362.6903,291.6890505,0.00564419,-2.037570216,-3.649225222,931.2895988,1.199616419,303
1985,11,-0.799641736,-0.558329444,301.4360911,290.9300456,0.437014346,296.6007355,101079.2589,294.8478628,0.008999132,-2.747949286,-3.564796367,727.3965658,1.693958654,303
1985,12,0.221166392,-0.262336614,307.0634657,293.5929979,0.282511337,300.4638426,100768.7268,298.2661527,0.00671607,-2.312361498,-3.060948336,434.3027369,0.493961598,303
1985,2,-1.707353258,-0.125473282,307.3041578,295.8392301,0.47491066,301.3735046,100856.209,298.9199448,0.008695622,-3.38804758,-3.185508811,533.4745366,-0.510198178,303
1985,3,-2.729219922,0.027450282,305.4714139,293.8273266,0.269279272,299.6068401,101172.6653,296.3290612,0.007334244,-4.229216614,-2.44238372,770.0870572,-0.262579962,303
1985,4,-1.046305122,1.416301134,300.6535329,288.8548594,0.275339413,294.488382,101460.2091,292.4726756,0.005627613,-2.652791095,-0.68060829,1034.352064,-0.563307135,303
1985,5,-1.98754804,0.871718989,297.0338617,286.0462814,0.320044728,291.1870747,101930.5048,289.2457344,0.00580633,-3.144068948,-0.844134189,1426.831716,-0.461581658,303
1985,6,-0.823759298,1.437319044,290.7412659,279.5070211,0.254052247,284.7344055,102081.0995,284.0713816,0.004430921,-1.983014402,-0.246584903,1537.797225,0.54619679,303
1985,7,-0.716374747,1.01293966,291.8700857,280.1598127,0.194287361,285.7324957,102126.8778,284.8004446,0.004510655,-2.025138705,-0.785992754,1583.572935,0.567425009,303
